"Date","Time","State","State No","Scale","Injuries","Fatalities","Start Lat","Start Lon","Length","Width"
"2014-01-11","06:37:00","GA","0","0","0","0","34.3328","-84.5286","2.9","10.0"
"2014-01-11","14:32:00","VA","0","0","0","0","37.025","-76.6377","1.36","100.0"
"2014-01-11","14:32:00","VA","0","0","0","0","36.8769","-76.6721","1.95","50.0"
"2014-01-11","14:50:00","VA","0","0","0","0","37.08","-76.3","1.08","75.0"
"2014-02-20","14:25:00","IL","0","2","1","0","39.518","-90.841","12.09","80.0"
"2014-02-20","14:48:00","IL","0","0","0","0","39.7853","-90.4215","0.27","25.0"
"2014-02-20","14:52:00","IL","0","0","0","0","39.8193","-90.4178","8.17","50.0"
"2014-02-20","15:43:00","IL","0","0","0","0","39.5671","-89.6256","0.22","75.0"
"2014-02-20","15:57:00","IL","0","1","0","0","38.7575","-89.6151","20.56","300.0"
"2014-02-20","16:09:00","IL","0","2","1","0","39.2586","-89.234","22.38","200.0"
"2014-02-20","16:36:00","IL","0","1","0","0","39.0158","-88.998","4.8","50.0"
"2014-02-20","16:39:00","MO","0","1","5","0","36.1895","-89.8812","0.24","70.0"
"2014-02-20","16:40:00","IL","0","1","0","0","37.6987","-89.3713","0.39","50.0"
"2014-02-20","16:40:00","IL","0","0","0","0","39.5176","-88.8109","0.28","50.0"
"2014-02-20","16:41:00","MO","0","1","0","0","36.2349","-89.8029","0.04","25.0"
"2014-02-20","16:54:00","IL","0","1","0","0","39.1784","-88.7233","1.54","100.0"
"2014-02-20","17:43:00","IL","0","0","0","0","39.7821","-87.7409","3.0","75.0"
"2014-02-20","18:40:00","IN","0","0","0","0","40.0044","-86.8666","7.48","40.0"
"2014-02-20","18:42:00","KY","0","0","0","0","37.48","-87.8974","6.22","125.0"
"2014-02-20","19:11:00","MS","0","0","0","0","31.0737","-90.0019","0.45","40.0"
"2014-02-20","19:12:00","KY","0","0","0","0","37.1","-87.75","1.59","125.0"
"2014-02-20","19:48:00","MS","0","0","0","0","31.253","-89.77","0.52","50.0"
"2014-02-20","20:32:00","IN","0","0","0","0","39.656","-85.5679","0.04","25.0"
"2014-02-20","20:33:00","LA","0","1","0","0","30.6913","-92.3903","2.65","75.0"
"2014-02-20","20:45:00","AL","0","1","0","0","34.6889","-87.2589","10.72","450.0"
"2014-02-20","20:51:00","AL","0","1","0","0","34.7858","-87.315","1.82","400.0"
"2014-02-20","20:55:00","AL","0","1","1","0","34.895","-87.2783","2.67","500.0"
"2014-02-20","21:05:00","AL","0","1","0","0","34.8798","-87.0707","2.73","500.0"
"2014-02-20","21:14:00","IN","0","1","0","0","39.1792","-85.2854","0.81","50.0"
"2014-02-20","21:28:00","MS","0","1","0","0","31.455","-89.366","4.62","100.0"
"2014-02-20","21:50:00","MS","0","0","0","0","31.607","-89.255","0.6","50.0"
"2014-02-20","21:53:00","TN","0","1","0","0","35.1935","-86.3331","1.64","400.0"
"2014-02-20","21:53:00","OH","0","0","0","0","39.889","-84.4078","2.03","80.0"
"2014-02-20","22:08:00","TN","0","1","0","0","35.176","-86.2048","1.05","100.0"
"2014-02-20","22:23:00","TN","0","1","0","0","35.287","-85.992","1.98","400.0"
"2014-02-20","22:29:00","TN","0","1","0","0","35.3303","-85.9324","1.21","250.0"
"2014-02-20","23:54:00","OH","0","0","0","0","40.2952","-82.9659","0.13","80.0"
"2014-02-21","00:28:00","AL","0","2","1","0","34.4941","-85.6754","0.83","50.0"
"2014-02-21","01:56:00","AL","0","0","0","0","33.6512","-86.4678","4.2","150.0"
"2014-02-21","07:21:00","GA","0","2","0","0","32.5745","-82.9754","17.47","200.0"
"2014-02-21","07:29:00","GA","0","0","0","0","31.43","-83.576","2.22","300.0"
"2014-02-21","11:15:00","NC","0","0","0","0","34.6697","-79.2903","0.49","25.0"
"2014-02-21","11:23:00","MD","0","0","0","0","38.242","-76.68","23.63","75.0"
"2014-02-21","11:38:00","NC","0","0","0","0","34.7993","-78.9753","0.16","35.0"
"2014-02-21","12:26:00","NC","0","1","0","0","35.277","-78.258","0.83","175.0"
"2014-02-28","20:17:00","CA","0","0","0","0","38.6297","-121.706","0.74","50.0"
"2014-03-01","13:40:00","AZ","0","0","0","0","33.4176","-111.854","0.45","100.0"
"2014-03-06","11:00:00","FL","0","0","0","0","27.865","-82.85","0.05","10.0"
"2014-03-06","11:38:00","FL","0","0","0","0","27.982","-82.604","1.38","15.0"
"2014-03-06","13:30:00","FL","0","0","0","0","26.5793","-80.713","0.25","50.0"
"2014-03-25","20:15:00","CA","0","0","0","0","39.71","-121.67","0.26","10.0"
"2014-03-26","18:24:00","CA","0","0","0","0","38.8051","-121.534","0.63","25.0"
"2014-03-26","18:30:00","CA","0","1","0","0","39.5905","-122.089","0.7","50.0"
"2014-03-26","18:33:00","CA","0","1","0","0","39.5722","-122.099","0.95","50.0"
"2014-03-26","18:45:00","CA","0","1","0","0","39.5845","-122.145","0.58","50.0"
"2014-03-26","19:10:00","CA","0","0","0","0","38.7624","-121.416","4.02","20.0"
"2014-03-27","15:03:00","MO","0","1","0","0","39.91","-94.2","9.25","200.0"
"2014-03-27","15:22:00","MO","0","2","0","0","40.03","-94.0","2.98","100.0"
"2014-03-27","15:41:00","IA","0","0","0","0","40.9854","-93.7744","0.73","75.0"
"2014-03-27","15:55:00","MO","0","0","0","0","40.1","-93.66","12.84","500.0"
"2014-03-28","20:23:00","LA","0","1","0","0","31.4215","-92.4232","1.52","200.0"
"2014-03-29","12:20:00","FL","0","0","0","0","28.3892","-81.1332","2.43","100.0"
"2014-03-29","18:57:00","NC","0","0","0","0","35.591","-78.6905","0.18","145.0"
"2014-03-29","19:08:00","NC","0","0","0","0","35.6539","-78.6334","0.12","75.0"
"2014-03-29","20:40:00","CA","0","0","0","0","39.8435","-121.974","0.01","10.0"
"2014-03-31","14:50:00","MN","0","0","0","0","44.554","-95.9919","10.67","100.0"
"2014-04-02","17:55:00","KS","0","0","0","0","37.0007","-98.3685","0.26","40.0"
"2014-04-02","19:23:00","KS","0","0","0","0","37.2559","-95.9653","0.02","10.0"
"2014-04-03","04:19:00","MO","0","1","0","0","38.67","-90.3625","0.63","100.0"
"2014-04-03","07:30:00","IL","0","1","0","0","38.1057","-88.2256","0.99","90.0"
"2014-04-03","18:27:00","TX","0","0","1","0","33.1851","-96.5234","0.94","40.0"
"2014-04-03","18:56:00","MO","0","0","0","0","36.7518","-90.5799","0.19","50.0"
"2014-04-03","19:03:00","TX","0","1","4","0","33.1959","-96.2488","11.8","750.0"
"2014-04-03","19:40:00","IL","0","0","0","0","37.4657","-89.3103","0.27","50.0"
"2014-04-03","19:52:00","IL","0","0","0","0","37.5092","-89.167","5.03","85.0"
"2014-04-03","20:00:00","MO","0","1","0","0","36.8006","-90.2088","0.55","75.0"
"2014-04-03","20:00:00","IL","0","0","0","0","37.5429","-89.0922","3.18","75.0"
"2014-04-03","20:01:00","MO","0","1","0","0","36.8047","-90.2004","7.43","75.0"
"2014-04-03","20:20:00","TX","0","0","1","0","33.2671","-95.587","0.56","250.0"
"2014-04-03","20:25:00","IL","0","1","0","0","37.6192","-88.8914","0.77","50.0"
"2014-04-03","20:40:00","MO","0","2","0","0","36.6843","-90.8698","3.48","220.0"
"2014-04-04","06:23:00","LA","0","1","0","0","30.3977","-93.1845","1.84","100.0"
"2014-04-04","07:11:00","LA","0","0","0","0","30.3718","-92.5016","0.81","50.0"
"2014-04-06","18:41:00","MS","0","1","0","0","32.8022","-89.0136","1.25","150.0"
"2014-04-07","01:02:00","MS","0","2","8","0","31.6717","-89.6567","16.48","600.0"
"2014-04-07","11:55:00","GA","0","1","0","0","31.5444","-83.2685","1.93","165.0"
"2014-04-07","13:49:00","NC","0","2","5","0","35.57","-76.66","4.7","300.0"
"2014-04-07","14:00:00","NC","0","1","0","0","35.6","-76.54","1.32","200.0"
"2014-04-07","15:23:00","FL","0","0","0","0","30.3879","-84.1433","0.51","50.0"
"2014-04-07","19:50:00","GA","0","0","3","0","33.3025","-84.385","0.94","150.0"
"2014-04-13","14:46:00","TX","0","0","0","0","33.0181","-94.9673","0.28","25.0"
"2014-04-13","15:45:00","TX","0","1","1","0","31.1251","-95.4477","0.79","20.0"
"2014-04-13","16:56:00","IA","0","0","0","0","41.488","-91.4437","1.3","25.0"
"2014-04-13","16:58:00","OK","0","0","0","0","34.59","-97.71","0.37","50.0"
"2014-04-13","17:05:00","OK","0","0","0","0","34.58","-97.66","0.3","40.0"
"2014-04-13","19:45:00","AR","0","1","0","0","35.3658","-94.0375","5.4","450.0"
"2014-04-20","16:10:00","KS","0","0","0","0","39.4","-100.938","0.1","10.0"
"2014-04-20","16:30:00","TX","0","0","0","0","34.51","-100.07","0.2","50.0"
"2014-04-20","16:47:00","KS","0","0","0","0","39.6128","-101.151","0.1","10.0"
"2014-04-24","13:59:00","NC","0","1","0","0","36.2015","-77.9465","1.86","75.0"
"2014-04-24","21:45:00","IL","0","1","0","0","37.7305","-89.3434","2.21","100.0"
"2014-04-25","14:38:00","NC","0","0","0","0","35.479","-77.782","0.27","50.0"
"2014-04-25","14:46:00","NC","0","1","0","0","35.53","-77.74","4.18","125.0"
"2014-04-25","15:18:00","NC","0","0","0","0","35.6","-77.46","0.01","20.0"
"2014-04-25","17:20:00","NC","0","2","1","1","36.054","-76.74","37.48","400.0"
"2014-04-25","17:20:00","NC","0","2","0","0","0.0","0.0","0.0","0.0"
"2014-04-25","17:22:00","NC","0","2","2","0","36.06","-76.705","33.46","400.0"
"2014-04-25","17:22:00","NC","0","2","0","0","35.47","-77.26","1.13","75.0"
"2014-04-25","17:35:00","NC","0","3","16","0","35.51","-77.12","20.99","350.0"
"2014-04-25","17:50:00","NC","0","1","0","0","36.2","-76.28","6.21","200.0"
"2014-04-25","18:12:00","NC","0","0","0","0","36.338","-76.241","0.47","50.0"
"2014-04-25","18:28:00","NC","0","0","0","0","36.1985","-75.871","0.83","30.0"
"2014-04-27","11:51:00","MO","0","0","0","0","38.9934","-93.9689","2.38","50.0"
"2014-04-27","13:26:00","NE","0","0","0","0","40.3448","-98.885","0.14","35.0"
"2014-04-27","14:20:00","IA","0","1","0","2","41.1325","-92.3117","45.68","1600.0"
"2014-04-27","15:40:00","NE","0","0","0","0","40.9527","-97.7065","0.07","45.0"
"2014-04-27","15:40:00","IA","0","0","0","0","41.9625","-91.3819","0.5","50.0"
"2014-04-27","16:17:00","NE","0","0","0","0","41.2007","-97.7065","0.4","45.0"
"2014-04-27","16:29:00","OK","0","2","37","1","36.912","-94.8215","11.37","325.0"
"2014-04-27","16:29:00","OK","0","2","12","1","36.912","-94.8215","7.1","325.0"
"2014-04-27","16:31:00","OK","0","1","0","0","34.548","-94.7109","1.5","250.0"
"2014-04-27","16:35:00","KS","0","2","25","0","36.9987","-94.753","4.27","150.0"
"2014-04-27","16:40:00","KS","0","2","0","0","37.9269","-94.7125","16.13","400.0"
"2014-04-27","16:48:00","KS","0","2","0","0","38.0371","-94.6419","8.5","400.0"
"2014-04-27","17:15:00","MO","0","0","0","0","37.7302","-94.3995","0.34","100.0"
"2014-04-27","18:06:00","AR","0","4","193","16","34.7787","-92.652","41.1","1320.0"
"2014-04-27","18:30:00","WA","0","0","0","0","46.8649","-122.262","0.2","25.0"
"2014-04-27","19:16:00","AR","0","2","1","0","35.2491","-91.9215","7.32","880.0"
"2014-04-27","19:38:00","AR","0","0","0","0","35.4236","-91.674","1.64","250.0"
"2014-04-27","19:43:00","AR","0","1","0","0","35.4639","-91.6414","5.28","100.0"
"2014-04-27","19:52:00","AR","0","1","0","0","35.5439","-91.5524","0.84","50.0"
"2014-04-27","22:45:00","MO","0","0","0","0","36.91","-92.81","0.88","100.0"
"2014-04-28","02:09:00","LA","0","2","0","0","32.8866","-93.875","5.06","550.0"
"2014-04-28","05:46:00","TN","0","0","0","0","35.3615","-89.7486","1.54","75.0"
"2014-04-28","11:36:00","TN","0","1","0","0","35.8808","-85.2931","2.05","100.0"
"2014-04-28","12:57:00","MS","0","0","0","0","32.7526","-90.6067","0.24","50.0"
"2014-04-28","13:38:00","MS","0","3","32","0","34.2261","-88.8242","30.97","440.0"
"2014-04-28","13:51:00","MS","0","1","0","0","33.4039","-89.6647","3.41","100.0"
"2014-04-28","14:51:00","MS","0","4","84","10","32.88","-89.43","33.39","1320.0"
"2014-04-28","14:56:00","AL","0","1","0","0","34.5219","-87.7494","3.19","100.0"
"2014-04-28","15:47:00","AL","0","3","30","2","34.7753","-87.2324","15.56","600.0"
"2014-04-28","15:56:00","MS","0","1","1","0","32.2835","-90.8697","4.67","200.0"
"2014-04-28","16:10:00","TN","0","2","1","0","36.4286","-89.1416","9.84","150.0"
"2014-04-28","16:10:00","TN","0","2","1","0","36.4286","-89.1416","12.08","150.0"
"2014-04-28","16:14:00","MS","0","1","0","0","33.23","-88.79","7.11","100.0"
"2014-04-28","16:20:00","MS","0","1","0","0","32.3559","-90.5975","13.75","500.0"
"2014-04-28","16:24:00","KY","0","1","0","0","36.5028","-89.0289","2.24","60.0"
"2014-04-28","16:38:00","AL","0","0","0","0","34.1854","-87.998","7.72","100.0"
"2014-04-28","16:39:00","MS","0","1","0","0","33.3011","-88.6286","0.64","100.0"
"2014-04-28","16:46:00","KY","0","0","0","0","36.6537","-88.8654","1.03","25.0"
"2014-04-28","16:48:00","MS","0","1","0","0","32.1229","-90.6352","10.86","300.0"
"2014-04-28","16:50:00","AL","0","1","0","0","34.9476","-86.6465","8.91","100.0"
"2014-04-28","16:53:00","MS","0","2","0","0","33.3664","-88.538","10.31","300.0"
"2014-04-28","17:00:00","MS","0","1","0","0","32.5141","-90.1947","3.82","200.0"
"2014-04-28","17:00:00","GA","0","2","0","0","33.122","-85.0556","5.7","150.0"
"2014-04-28","17:08:00","MS","0","1","0","0","33.49","-88.39","6.35","250.0"
"2014-04-28","17:09:00","TN","0","2","0","0","35.0186","-86.4875","9.53","250.0"
"2014-04-28","17:13:00","MS","0","0","0","0","32.5886","-90.0994","0.8","75.0"
"2014-04-28","17:19:00","MS","0","1","0","0","33.5251","-88.3037","1.95","100.0"
"2014-04-28","17:19:00","MS","0","1","0","0","33.5251","-88.3037","10.03","500.0"
"2014-04-28","17:22:00","AL","0","1","0","0","33.5379","-88.2741","8.08","500.0"
"2014-04-28","17:27:00","MS","0","3","10","1","32.2291","-90.2225","29.72","400.0"
"2014-04-28","17:38:00","MS","0","2","0","0","33.4382","-88.4064","8.06","300.0"
"2014-04-28","17:38:00","MS","0","2","5","0","33.4382","-88.4064","14.27","500.0"
"2014-04-28","17:54:00","AL","0","2","5","0","33.4888","-88.2802","6.21","500.0"
"2014-04-28","18:08:00","MS","0","1","0","0","32.6746","-89.4246","5.05","100.0"
"2014-04-28","18:35:00","AL","0","1","0","0","33.8878","-87.7094","6.97","350.0"
"2014-04-28","18:36:00","MS","0","3","3","0","32.3703","-89.4564","4.27","150.0"
"2014-04-28","18:54:00","MS","0","1","0","0","32.3824","-89.2825","9.57","150.0"
"2014-04-28","19:09:00","TN","0","3","0","2","35.0066","-86.5497","26.76","500.0"
"2014-04-28","19:12:00","MS","0","2","0","0","32.4116","-89.1147","5.59","400.0"
"2014-04-28","19:18:00","AL","0","1","0","0","34.7945","-85.6557","6.13","100.0"
"2014-04-28","19:35:00","MS","0","1","0","0","32.4262","-88.9417","13.11","100.0"
"2014-04-28","19:40:00","AL","0","1","0","0","33.8344","-87.1945","2.39","150.0"
"2014-04-28","20:30:00","AL","0","1","0","0","32.4208","-88.271","1.03","150.0"
"2014-04-28","20:39:00","AL","0","3","0","0","34.0957","-86.7598","8.88","350.0"
"2014-04-28","20:40:00","MS","0","3","15","0","31.7419","-89.0892","10.46","880.0"
"2014-04-28","20:59:00","AL","0","1","13","0","33.0625","-87.6345","12.47","1500.0"
"2014-04-28","21:00:00","AL","0","1","4","0","33.7514","-86.8303","8.78","800.0"
"2014-04-28","21:05:00","GA","0","1","0","0","34.951","-84.8718","3.95","100.0"
"2014-04-28","21:05:00","TN","0","1","0","0","34.9876","-84.8321","0.56","100.0"
"2014-04-28","21:05:00","GA","0","1","0","0","34.951","-84.8718","3.39","100.0"
"2014-04-28","21:09:00","MS","0","2","0","0","31.7579","-88.7559","9.2","250.0"
"2014-04-28","21:13:00","AL","0","2","3","0","33.5856","-87.0055","5.46","1800.0"
"2014-04-28","21:55:00","AL","0","1","0","0","33.3129","-87.2197","4.46","675.0"
"2014-04-28","22:00:00","AL","0","1","0","0","33.3162","-87.111","7.62","913.0"
"2014-04-28","22:16:00","AL","0","2","0","0","33.3592","-86.995","5.14","600.0"
"2014-04-28","22:22:00","AL","0","1","0","0","33.8908","-86.4871","7.81","1000.0"
"2014-04-28","23:15:00","AL","0","1","0","0","31.5759","-87.7633","0.31","200.0"
"2014-04-28","23:24:00","AL","0","2","2","0","33.7993","-86.5395","14.6","1300.0"
"2014-04-28","23:32:00","AL","0","3","0","0","34.1703","-86.0439","11.73","600.0"
"2014-04-28","23:54:00","AL","0","2","0","0","34.3073","-85.9305","2.47","200.0"
"2014-04-29","00:06:00","AL","0","2","0","0","34.3491","-85.8401","11.71","200.0"
"2014-04-29","00:17:00","AL","0","1","0","0","34.0896","-86.155","6.28","200.0"
"2014-04-29","00:28:00","AL","0","0","0","0","34.2243","-86.0781","2.42","75.0"
"2014-04-29","00:36:00","AL","0","1","0","0","34.5048","-85.6174","10.2","200.0"
"2014-04-29","01:23:00","AL","0","1","0","0","34.4282","-85.6466","1.05","200.0"
"2014-04-29","02:25:00","AL","0","0","0","0","32.417","-85.4585","1.74","75.0"
"2014-04-29","02:56:00","AL","0","3","13","0","32.465","-85.2336","11.45","1200.0"
"2014-04-29","12:25:00","NC","0","0","0","0","35.17","-77.35","0.04","25.0"
"2014-04-29","13:52:00","NC","0","1","0","0","35.02","-78.682","1.72","200.0"
"2014-04-29","16:09:00","NC","0","0","0","0","35.848","-77.434","4.15","100.0"
"2014-04-29","17:49:00","NC","0","0","0","0","35.441","-77.7891","0.02","25.0"
"2014-04-29","18:10:00","NC","0","1","0","0","35.1491","-78.3948","0.81","100.0"
"2014-04-30","00:44:00","FL","0","1","0","0","30.8785","-85.5282","1.62","100.0"
"2014-04-30","00:52:00","FL","0","1","0","0","30.8788","-85.3641","4.61","150.0"
"2014-05-06","14:05:00","WY","0","0","0","0","43.2194","-108.383","4.79","30.0"
"2014-05-06","14:07:00","WY","0","1","0","0","43.2966","-108.337","1.52","50.0"
"2014-05-07","15:08:00","WY","0","0","0","0","41.905","-109.385","0.53","30.0"
"2014-05-07","15:15:00","CO","0","0","0","0","40.23","-104.81","2.62","100.0"
"2014-05-07","16:05:00","CO","0","0","0","0","40.02","-103.03","0.1","50.0"
"2014-05-07","16:22:00","CO","0","0","0","0","40.13","-103.08","5.46","100.0"
"2014-05-07","17:25:00","CO","0","0","0","0","40.6","-102.63","0.1","50.0"
"2014-05-07","18:03:00","TX","0","0","0","0","34.033","-98.602","0.2","75.0"
"2014-05-07","18:06:00","OK","0","0","0","0","34.767","-98.697","1.5","400.0"
"2014-05-08","12:45:00","MO","0","0","0","0","36.7525","-93.9845","2.39","50.0"
"2014-05-08","14:15:00","TX","0","0","0","0","32.757","-96.889","0.46","120.0"
"2014-05-08","15:10:00","CO","0","0","0","0","39.08","-103.62","0.1","50.0"
"2014-05-08","15:27:00","CO","0","0","0","0","39.05","-103.57","0.1","50.0"
"2014-05-08","15:51:00","MN","0","0","0","0","43.9552","-94.6083","0.83","50.0"
"2014-05-08","16:09:00","MN","0","0","0","0","44.1073","-94.379","2.1","50.0"
"2014-05-08","16:10:00","MO","0","1","0","0","36.9964","-92.7143","2.5","100.0"
"2014-05-08","19:44:00","AR","0","1","0","0","35.3094","-93.1162","1.66","50.0"
"2014-05-10","11:47:00","ID","0","0","0","0","43.9914","-112.615","0.02","15.0"
