zip_code,latitude,longitude,city,state,county
03280,43.17229,-72.100689,Washington,NH,Sullivan
03570,44.512344,-71.194226,Berlin,NH,Coos
04003,43.735867,-69.995456,Bailey Island,ME,Cumberland
04008,44.023162,-69.875816,Bowdoinham,ME,Sagadahoc
04010,44.163033,-70.739823,Brownfield,ME,Oxford
04478,45.28657,-70.054629,Rockwood,ME,Somerset
05401,44.507404,-73.151384,Burlington,VT,Chittenden
05442,44.724842,-72.701554,Belvidere Center,VT,Lamoille
06018,42.001585,-73.295891,Canaan,CT,Litchfield
07002,40.670858,-74.109486,Bayonne,NJ,Hudson
07830,40.717424,-74.813951,Califon,NJ,Hunterdon
11201,40.694481,-73.989319,Brooklyn,NY,Kings
12010,42.906298,-74.229042,Amsterdam,NY,Montgomery
12108,43.667618,-74.456913,Lake Pleasant,NY,Hamilton
14424,42.813576,-77.289687,Canandaigua,NY,Ontario
14814,42.156516,-76.93164,Big Flats,NY,Chemung
15001,40.675225,-80.304178,Aliquippa,PA,Beaver
15062,40.361852,-79.75128,Monessen,PA,Westmoreland
15681,40.542875,-79.397809,Saltsburg,PA,Indiana
16028,40.98399,-79.615234,East Brady,PA,Clarion
17014,40.478716,-77.345514,Cocolamus,PA,Juniata
18403,41.487598,-75.533403,Archbald,PA,Lackawanna
21701,39.512748,-77.369299,Frederick,MD,Frederick
22448,38.326218,-77.039825,Dahlgren,VA,King George
23101,37.553314,-77.892964,Macon,VA,Powhatan
23173,37.524246,-77.493157,University Of Richmond,VA,Richmond City
23304,36.989766,-76.572291,Battery Park,VA,Isle Of Wight
23662,37.132326,-76.365419,Poquoson,VA,Poquoson City
23870,36.721471,-77.531996,Jarratt,VA,Greensville
24215,36.923445,-82.796445,Andover,VA,Wise
24422,37.824232,-79.823119,Clifton Forge,VA,Clifton Forge City
24501,37.383112,-79.178326,Lynchburg,VA,Lynchburg City
25018,38.465777,-81.050662,Bentree,WV,Clay
26238,39.125078,-80.017982,Volga,WV,Barbour
26335,38.777546,-80.656974,Burnsville,WV,Braxton
27201,36.031836,-79.485643,Alamance,NC,Alamance
27242,35.326471,-79.548614,Eagle Springs,NC,Moore
27343,36.493537,-79.060407,Semora,NC,Person
27501,35.478164,-78.729411,Angier,NC,Harnett
27504,35.40709,-78.402967,Benson,NC,Johnston
27507,36.451463,-78.566691,Bullock,NC,Granville
28319,34.595364,-79.197058,Barnesville,NC,Robeson
28710,35.4319,-82.544826,Bat Cave,NC,Henderson
29056,33.785465,-79.832218,Greeleyville,SC,Williamsburg
29646,34.114209,-82.128301,Greenwood,SC,Greenwood
29824,33.767808,-81.987524,Edgefield,SC,Edgefield
29911,32.885698,-81.206373,Brunson,SC,Hampton
30018,33.717989,-83.801451,Jersey,GA,Walton
31537,30.855314,-82.027252,Folkston,GA,Charlton
31648,30.768894,-83.037116,Statenville,GA,Echols
31805,32.292547,-84.736706,Cusseta,GA,Chattahoochee
31808,32.563874,-84.991501,Fortson,GA,Muscogee
32531,30.85525,-86.674139,Baker,FL,Okaloosa
32948,27.775251,-80.609403,Fellsmere,FL,Indian River
33401,26.672643,-80.070613,West Palm Beach,FL,Palm Beach
35010,32.930079,-85.805026,Alexander City,AL,Tallapoosa
35019,34.265451,-86.712779,Baileyton,AL,Cullman
35611,34.764976,-87.103488,Athens,AL,Limestone
37014,35.856609,-86.663307,Arrington,TN,Williamson
38850,34.013571,-88.996107,Houlka,MS,Chickasaw
40813,36.714629,-83.64046,Calvin,KY,Bell
40826,37.043638,-82.809267,Eolia,KY,Letcher
41037,38.3481,-83.718626,Elizaville,KY,Fleming
41101,38.43296,-82.693914,Ashland,KY,Boyd
42022,37.148007,-88.948562,Bandana,KY,Ballard
42038,37.044697,-88.024871,Eddyville,KY,Lyon
42217,37.043116,-87.487724,Crofton,KY,Christian
42631,36.777331,-84.502512,Marshes Siding,KY,Mccreary
43501,41.577786,-84.584125,Alvordton,OH,Williams
43722,39.91944,-81.53113,Buffalo,OH,Guernsey
43803,40.357237,-81.643638,Bakersville,OH,Coshocton
45701,39.339279,-82.013803,Athens,OH,Athens
46714,40.71327,-85.2023,Bluffton,IN,Wells
47348,40.472672,-85.326447,Hartford City,IN,Blackford
47513,38.326772,-86.820726,Birdseye,IN,Dubois
49028,41.880399,-85.162804,Bronson,MI,Branch
49601,44.335278,-85.549093,Cadillac,MI,Wexford
49610,44.789382,-85.488449,Acme,MI,Grand Traverse
49611,44.983262,-84.961776,Alba,MI,Antrim
49701,45.753019,-84.691745,Mackinaw City,MI,Cheboygan
49743,45.283467,-83.873719,Hawks,MI,Presque Isle
49807,45.695595,-87.207306,Bark River,MI,Delta
50025,41.704535,-94.918652,Audubon,IA,Audubon
52140,43.43073,-91.509087,Dorchester,IA,Allamakee
53101,42.58098,-87.662878,Bassett,WI,Kenosha
54601,43.85456,-91.132072,La Crosse,WI,La Crosse
54725,45.075804,-92.013036,Boyceville,WI,Dunn
54930,44.026085,-89.486854,Coloma,WI,Waushara
55041,44.421753,-92.232221,Lake City,MN,Wabasha
55308,45.451864,-93.842187,Becker,MN,Sherburne
55371,45.740703,-93.63663,Princeton,MN,Mille Lacs
55909,43.565168,-92.74389,Adams,MN,Mower
55922,43.527479,-91.85297,Canton,MN,Fillmore
56048,44.051012,-93.58735,Janesville,MN,Waseca
56701,48.076333,-96.149002,Thief River Falls,MN,Pennington
57532,44.343326,-100.635312,Fort Pierre,SD,Stanley
57552,44.370733,-101.527178,Midland,SD,Haakon
57560,43.623523,-100.721218,Norris,SD,Mellette
57625,45.001611,-101.232885,Eagle Butte,SD,Dewey
57716,43.352617,-102.541100,Batesland,SD,Shannon
57717,44.93037,-103.873130,Belle Fourche,SD,Butte
59011,45.834206,-109.950025,Big Timber,MT,Sweet Grass
59222,48.781396,-105.562544,Flaxville,MT,Daniels
59313,46.351496,-104.273377,Baker,MT,Fallon
59411,48.904169,-113.298384,Babb,MT,Glacier
59832,46.687633,-113.215445,Drummond,MT,Granite
59901,48.202765,-114.303919,Kalispell,MT,Flathead
60512,41.698414,-88.427873,Bristol,IL,Kendall
61914,39.638,-88.75367,Bethany,IL,Moultrie
61917,39.713401,-87.818005,Brocton,IL,Edgar
62476,38.519678,-88.009457,West Salem,IL,Edwards
63701,37.341398,-89.611016,Cape Girardeau,MO,Cape Girardeau
64423,40.266817,-94.858117,Barnard,MO,Nodaway
65001,38.498027,-91.918023,Argyle,MO,Osage
65018,38.625055,-92.550973,California,MO,Moniteau
65068,38.819678,-92.606295,Prairie Home,MO,Cooper
65634,38.024206,-93.228867,Cross Timbers,MO,Hickory
66407,39.277337,-96.164714,Belvue,KS,Pottawatomie
66449,39.401675,-96.848345,Leonardville,KS,Riley
66843,38.260042,-96.822766,Cedar Point,KS,Chase
66936,39.784792,-98.218469,Burr Oak,KS,Jewell
67057,37.076952,-98.751916,Hardtner,KS,Barber
67330,37.222616,-95.360819,Altamont,KS,Labette
67523,38.13957,-99.385256,Burdett,KS,Pawnee
68005,41.132948,-95.903956,Bellevue,NE,Sarpy
68303,40.244068,-97.386612,Alexandria,NE,Thayer
68623,41.471865,-98.068163,Belgrade,NE,Nance
68629,41.663195,-97.137751,Clarkson,NE,Colfax
69001,40.207969,-100.620628,Mc Cook,NE,Red Willow
70401,30.549037,-90.464466,Hammond,LA,Tangipahoa
70634,30.651656,-93.299574,Deridder,LA,Beauregard
72007,34.980269,-91.979545,Austin,AR,Lonoke
72314,35.357184,-90.677331,Birdeye,AR,Cross
72354,35.596339,-90.340023,Lepanto,AR,Poinsett
73003,35.674777,-97.499681,Edmond,OK,Oklahoma
73052,34.836481,-97.51668,Lindsay,OK,Garvin
73627,35.26946,-99.680146,Carter,OK,Beckham
73801,36.438017,-99.442977,Woodward,OK,Woodward
74008,35.93345,-95.877617,Bixby,OK,Tulsa
74330,36.43736,-95.26975,Adair,OK,Mayes
74525,34.358254,-96.0825,Atoka,OK,Atoka
75834,31.105786,-95.138794,Centralia,TX,Trinity
75901,31.276467,-94.508447,Lufkin,TX,Angelina
76831,30.70395,-98.657239,Castell,TX,Llano
76933,31.854544,-100.343161,Bronte,TX,Coke
77801,30.667044,-96.361631,Bryan,TX,Brazos
78801,29.240446,-99.727018,Uvalde,TX,Uvalde
78827,28.448923,-99.759184,Asherton,TX,Dimmit
78852,28.781057,-100.312766,Eagle Pass,TX,Maverick
79009,34.519042,-102.784639,Bovina,TX,Parmer
79039,35.276741,-101.232275,Groom,TX,Carson
79220,33.616428,-100.779303,Afton,TX,Dickens
79506,32.175814,-100.289569,Blackwell,TX,Nolan
79718,31.383297,-103.556598,Balmorhea,TX,Reeves
79741,31.981472,-102.615727,Goldsmith,TX,Ector
79843,30.351902,-104.018475,Marfa,TX,Presidio
81020,37.381577,-104.653809,Aguilar,CO,Las Animas
81121,37.109225,-107.311830,Arboles,CO,Archuleta
81201,38.629119,-106.120582,Salida,CO,Chaffee
82401,44.008105,-108.141457,Worland,WY,Washakie
83325,42.586804,-114.246706,Eden,ID,Jerome
83501,46.3646,-116.860852,Lewiston,ID,Nez Perce
83801,47.922361,-116.686007,Athol,ID,Kootenai
84008,40.443106,-109.505593,Bonanza,UT,Uintah
87005,35.273985,-107.991394,Bluewater,NM,Cibola
88114,32.690034,-103.209405,Crossroads,NM,Lea
89701,39.154485,-119.730740,Carson City,NV,Carson City
93512,37.496842,-118.624903,Benton,CA,Mono
93620,37.073301,-120.623363,Dos Palos,CA,Merced
93623,37.51165,-119.652872,Fish Camp,CA,Mariposa
95602,39.014933,-121.070470,Auburn,CA,Placer
96021,40.125399,-122.135411,Corning,CA,Tehama
97014,45.671017,-121.868565,Cascade Locks,OR,Hood River
98520,47.002735,-123.671290,Aberdeen,WA,Grays Harbor
